a,category,filename,prompt,style,size,seed,n
1,urban-everyday-life,1-6-1-steampunk-caf-behind-hidden-bo,"Highly detailed diorama of steampunk café behind hidden bookshelf espresso hissing and gears ticking, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
1,urban-everyday-life,1-6-2-steampunk-caf-behind-hidden-bo,"steampunk café behind hidden bookshelf espresso hissing and gears ticking rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
1,fantasy-realms,2-1-1-floating-wizard-tower-with-sta,"Highly detailed diorama of floating wizard tower with stained glass and magical vines in the sky, in the style of Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-1-2-floating-wizard-tower-with-sta,"floating wizard tower with stained glass and magical vines in the sky rendered with handcrafted miniature textures and cinematic lighting, blending Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-2-1-elven-market-beneath-ancient-t,"Highly detailed diorama of elven market beneath ancient trees fairy-tale hand-drawn illustration style, in the style of Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-2-2-elven-market-beneath-ancient-t,"elven market beneath ancient trees fairy-tale hand-drawn illustration style rendered with handcrafted miniature textures and cinematic lighting, blending Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-3-1-glowing-mushroom-village-with,"Highly detailed diorama of glowing mushroom village with claymation texture and mossy paths, in the style of Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-3-2-glowing-mushroom-village-with,"glowing mushroom village with claymation texture and mossy paths rendered with handcrafted miniature textures and cinematic lighting, blending Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-4-1-pumpkin-house-with-gothic-kitc,"Highly detailed diorama of pumpkin house with gothic kitchen potion bottles and eerie shadows, in the style of Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,fantasy-realms,2-4-2-pumpkin-house-with-gothic-kitc,"pumpkin house with gothic kitchen potion bottles and eerie shadows rendered with handcrafted miniature textures and cinematic lighting, blending Storybook fantasy landscapes in claymation and painted dreamworlds — whimsical, magical, textured like a bedtime story come alive.",vivid,1024x1024,,1
1,scifi-futuristic,3-1-1-room-in-orbit-with-saturn-visi,"Highly detailed diorama of room in orbit with saturn visible through panoramic window and floating cup, in the style of Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-1-2-room-in-orbit-with-saturn-visi,"room in orbit with saturn visible through panoramic window and floating cup rendered with handcrafted miniature textures and cinematic lighting, blending Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-2-1-cyberpunk-street-vendor-with-t,"Highly detailed diorama of cyberpunk street vendor with tech scraps and neon menus, in the style of Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-2-2-cyberpunk-street-vendor-with-t,"cyberpunk street vendor with tech scraps and neon menus rendered with handcrafted miniature textures and cinematic lighting, blending Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-3-1-1950sstyle-diner-on-mars-with,"Highly detailed diorama of 1950s-style diner on mars with retro booths and oxygen soda, in the style of Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-3-2-1950sstyle-diner-on-mars-with,"1950s-style diner on mars with retro booths and oxygen soda rendered with handcrafted miniature textures and cinematic lighting, blending Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-4-1-robot-repair-shop-pixarinspire,"Highly detailed diorama of robot repair shop pixar-inspired robots offering tools and oil, in the style of Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-4-2-robot-repair-shop-pixarinspire,"robot repair shop pixar-inspired robots offering tools and oil rendered with handcrafted miniature textures and cinematic lighting, blending Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-5-1-underwater-futuristic-city-wit,"Highly detailed diorama of underwater futuristic city with coral-glass towers and bioluminescent roads, in the style of Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,scifi-futuristic,3-5-2-underwater-futuristic-city-wit,"underwater futuristic city with coral-glass towers and bioluminescent roads rendered with handcrafted miniature textures and cinematic lighting, blending Retro-futurist and Pixar-like sci-fi worlds with neon lights, orbital quiet, and robot charm — imaginative yet cinematic in tone.",natural,1024x1024,,1
1,nature-hidden-worlds,4-1-1-ecosystem-inside-a-glowing-lig,"Highly detailed diorama of ecosystem inside a glowing lightbulb with filament trees and a stream, in the style of Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-1-2-ecosystem-inside-a-glowing-lig,"ecosystem inside a glowing lightbulb with filament trees and a stream rendered with handcrafted miniature textures and cinematic lighting, blending Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-2-1-fairy-pond-behind-waterfall-cu,"Highly detailed diorama of fairy pond behind waterfall curtain glowing stones and dragonflies, in the style of Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-2-2-fairy-pond-behind-waterfall-cu,"fairy pond behind waterfall curtain glowing stones and dragonflies rendered with handcrafted miniature textures and cinematic lighting, blending Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-3-1-village-inside-a-tree-trunk-wi,"Highly detailed diorama of village inside a tree trunk with moss floors and candlelit bark rooms, in the style of Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-3-2-village-inside-a-tree-trunk-wi,"village inside a tree trunk with moss floors and candlelit bark rooms rendered with handcrafted miniature textures and cinematic lighting, blending Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-4-1-hot-spring-in-snowy-mountains,"Highly detailed diorama of hot spring in snowy mountains with japanese woodblock serenity, in the style of Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-4-2-hot-spring-in-snowy-mountains,"hot spring in snowy mountains with japanese woodblock serenity rendered with handcrafted miniature textures and cinematic lighting, blending Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-5-1-beehive-with-golden-geometry-a,"Highly detailed diorama of beehive with golden geometry and bees walking tightrope paths, in the style of Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,nature-hidden-worlds,4-5-2-beehive-with-golden-geometry-a,"beehive with golden geometry and bees walking tightrope paths rendered with handcrafted miniature textures and cinematic lighting, blending Eco-fantasy scenes inspired by terrariums, Japanese prints, and bioluminescence — miniature sanctuaries full of harmony and detail.",natural,1024x1024,,1
1,animals-whimsy,5-1-1-treehouse-caf-where-cats-serve,"Highly detailed diorama of treehouse café where cats serve tea nap in cups and swat mugs, in the style of Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-1-2-treehouse-caf-where-cats-serve,"treehouse café where cats serve tea nap in cups and swat mugs rendered with handcrafted miniature textures and cinematic lighting, blending Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-2-1-hamster-arcade-glowing-pink-wi,"Highly detailed diorama of hamster arcade glowing pink with prize dispensers and tiny paws gaming, in the style of Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-2-2-hamster-arcade-glowing-pink-wi,"hamster arcade glowing pink with prize dispensers and tiny paws gaming rendered with handcrafted miniature textures and cinematic lighting, blending Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-3-1-bark-post-office-run-by-snails,"Highly detailed diorama of bark post office run by snails with monocles folk art collage look, in the style of Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-3-2-bark-post-office-run-by-snails,"bark post office run by snails with monocles folk art collage look rendered with handcrafted miniature textures and cinematic lighting, blending Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-4-1-frog-sushi-bar-on-ponds-edge-w,"Highly detailed diorama of frog sushi bar on pond’s edge with zen minimalism and calm focus, in the style of Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-4-2-frog-sushi-bar-on-ponds-edge-w,"frog sushi bar on pond’s edge with zen minimalism and calm focus rendered with handcrafted miniature textures and cinematic lighting, blending Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-5-1-owl-classroom-under-moonlight,"Highly detailed diorama of owl classroom under moonlight with floating chalkboards and blinking stars, in the style of Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,animals-whimsy,5-5-2-owl-classroom-under-moonlight,"owl classroom under moonlight with floating chalkboards and blinking stars rendered with handcrafted miniature textures and cinematic lighting, blending Charming animal-run worlds in watercolor, folk collage, and pop surrealism — cozy, humorous, and lovingly detailed.",natural,1024x1024,,1
1,food-worlds,6-1-1-candy-city-with-gummy-bear-car,"Highly detailed diorama of candy city with gummy bear cars frosting shops and chocolate roads, in the style of Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-1-2-candy-city-with-gummy-bear-car,"candy city with gummy bear cars frosting shops and chocolate roads rendered with handcrafted miniature textures and cinematic lighting, blending Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-2-1-bento-box-world-with-rice-ball,"Highly detailed diorama of bento box world with rice ball people and pea-dog walkers, in the style of Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-2-2-bento-box-world-with-rice-ball,"bento box world with rice ball people and pea-dog walkers rendered with handcrafted miniature textures and cinematic lighting, blending Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-3-1-toast-town-with-syrup-rivers-b,"Highly detailed diorama of toast town with syrup rivers bacon benches and egg rooftops, in the style of Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-3-2-toast-town-with-syrup-rivers-b,"toast town with syrup rivers bacon benches and egg rooftops rendered with handcrafted miniature textures and cinematic lighting, blending Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-4-1-tea-cup-miniature-party-with-l,"Highly detailed diorama of tea cup miniature party with lace curtains and porcelain cakes, in the style of Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-4-2-tea-cup-miniature-party-with-l,"tea cup miniature party with lace curtains and porcelain cakes rendered with handcrafted miniature textures and cinematic lighting, blending Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-5-1-pizza-planet-with-cheeseglowin,"Highly detailed diorama of pizza planet with cheese-glowing skyscrapers and comic-style skyline, in the style of Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,food-worlds,6-5-2-pizza-planet-with-cheeseglowin,"pizza planet with cheese-glowing skyscrapers and comic-style skyline rendered with handcrafted miniature textures and cinematic lighting, blending Deliciously surreal foodscapes in anime candyland and dollhouse form — playful, colorful, and packed with edible architecture.",vivid,1024x1024,,1
1,historical-cultural,7-1-1-feudal-japanese-village-with-d,"Highly detailed diorama of feudal japanese village with drifting blossoms and flute music, in the style of Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-1-2-feudal-japanese-village-with-d,"feudal japanese village with drifting blossoms and flute music rendered with handcrafted miniature textures and cinematic lighting, blending Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-2-1-egyptian-scroll-room-with-reed,"Highly detailed diorama of egyptian scroll room with reed mats and flickering oil lamps, in the style of Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-2-2-egyptian-scroll-room-with-reed,"egyptian scroll room with reed mats and flickering oil lamps rendered with handcrafted miniature textures and cinematic lighting, blending Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-3-1-greek-agora-with-philosophers,"Highly detailed diorama of greek agora with philosophers marble steps and minimalist lines, in the style of Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-3-2-greek-agora-with-philosophers,"greek agora with philosophers marble steps and minimalist lines rendered with handcrafted miniature textures and cinematic lighting, blending Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-4-1-viking-dockyard-with-boat-buil,"Highly detailed diorama of viking dockyard with boat builders smoke and frozen beards, in the style of Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-4-2-viking-dockyard-with-boat-buil,"viking dockyard with boat builders smoke and frozen beards rendered with handcrafted miniature textures and cinematic lighting, blending Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-5-1-manila-colonial-street-with-tr,"Highly detailed diorama of manila colonial street with tranvia vendors and sepia balconies, in the style of Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,historical-cultural,7-5-2-manila-colonial-street-with-tr,"manila colonial street with tranvia vendors and sepia balconies rendered with handcrafted miniature textures and cinematic lighting, blending Miniature history rendered in Ukiyo-e, sepia tones, and etched nostalgia — poetic, quiet, and visually timeless.",natural,1024x1024,,1
1,meta-creative-worlds,8-1-1-artist-desk-landscape-with-lak,"Highly detailed diorama of artist desk landscape with lakes of paint and cliff erasers, in the style of Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-1-2-artist-desk-landscape-with-lak,"artist desk landscape with lakes of paint and cliff erasers rendered with handcrafted miniature textures and cinematic lighting, blending Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-2-1-inside-a-camera-where-gears-ar,"Highly detailed diorama of inside a camera where gears are roads and lenses are skylights, in the style of Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-2-2-inside-a-camera-where-gears-ar,"inside a camera where gears are roads and lenses are skylights rendered with handcrafted miniature textures and cinematic lighting, blending Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-3-1-feltandfur-monster-town-beneat,"Highly detailed diorama of felt-and-fur monster town beneath a child's bed, in the style of Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-3-2-feltandfur-monster-town-beneat,"felt-and-fur monster town beneath a child's bed rendered with handcrafted miniature textures and cinematic lighting, blending Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-4-1-bakery-in-a-snow-globe-with-ic,"Highly detailed diorama of bakery in a snow globe with icing smoke and miniature furniture, in the style of Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-4-2-bakery-in-a-snow-globe-with-ic,"bakery in a snow globe with icing smoke and miniature furniture rendered with handcrafted miniature textures and cinematic lighting, blending Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-5-1-spinning-city-on-a-turntable-s,"Highly detailed diorama of spinning city on a turntable synced to invisible music beats, in the style of Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
1,meta-creative-worlds,8-5-2-spinning-city-on-a-turntable-s,"spinning city on a turntable synced to invisible music beats rendered with handcrafted miniature textures and cinematic lighting, blending Surreal meta-art scenes with photorealism, felt craft, and pastel invention — a self-aware celebration of imagination itself.",vivid,1024x1024,,1
